0.000062681  20 1
0.000081184  20 2
0.000072623  20 3
0.000057267  20 4
0.000102326  20 5
0.000194805  20 6
0.000503600  20 7
0.000161974  20 8
0.000184608  20 9
0.000324107  20 10
0.000127385  30 1
0.000103490  30 2
0.000087673  30 3
0.000062146  30 4
0.000131857  30 5
0.000088648  30 6
0.000095492  30 7
0.000253253  30 8
0.000099847  30 9
0.000170625  30 10
0.000063975  40 1
0.000141259  40 2
0.000094426  40 3
0.000125319  40 4
0.000180933  40 5
0.000136614  40 6
0.000954023  40 7
0.000294991  40 8
0.000263301  40 9
0.000436832  40 10
0.000095599  50 1
0.000071268  50 2
0.000071619  50 3
0.000078008  50 4
0.000123039  50 5
0.000112831  50 6
0.000323186  50 7
0.000105126  50 8
0.000152057  50 9
0.000169765  50 10
0.000137910  60 1
0.000122051  60 2
0.000124040  60 3
0.000106094  60 4
0.000140518  60 5
0.000302899  60 6
0.000189190  60 7
0.000403109  60 8
0.000349551  60 9
0.000284879  60 10
0.000082349  70 1
0.000113677  70 2
0.000114203  70 3
0.000077717  70 4
0.001126521  70 5
0.000110737  70 6
0.000134295  70 7
0.000141145  70 8
0.000371101  70 9
0.000139063  70 10
0.000113930  80 1
0.000097905  80 2
0.000126151  80 3
0.000133436  80 4
0.000148941  80 5
0.000125318  80 6
0.000130198  80 7
0.000204077  80 8
0.000103317  80 9
0.000397553  80 10
0.000072276  90 1
0.000082928  90 2
0.000129607  90 3
0.000087162  90 4
0.002216395  90 5
0.000155515  90 6
0.000192356  90 7
0.000291371  90 8
0.000350187  90 9
0.000313379  90 10
0.000131720  100 1
0.000098877  100 2
0.000085070  100 3
0.000101121  100 4
0.000127067  100 5
0.000166050  100 6
0.000306382  100 7
0.000178457  100 8
0.000346484  100 9
0.000173030  100 10
0.000146359  110 1
0.000123675  110 2
0.000074263  110 3
0.000102798  110 4
0.000135254  110 5
0.000138399  110 6
0.000413730  110 7
0.000204814  110 8
0.000444436  110 9
0.000573594  110 10
0.000142159  120 1
0.000168187  120 2
0.000469232  120 3
0.000603065  120 4
0.000129074  120 5
0.000212167  120 6
0.000329723  120 7
0.000230029  120 8
0.000821819  120 9
0.000212374  120 10
0.000143609  130 1
0.000137667  130 2
0.000106081  130 3
0.000129936  130 4
0.000152850  130 5
0.000119271  130 6
0.000369965  130 7
0.000579324  130 8
0.000348863  130 9
0.000214944  130 10
0.000152111  140 1
0.000103603  140 2
0.000092601  140 3
0.000089780  140 4
0.000209322  140 5
0.000128771  140 6
0.000469039  140 7
0.000334982  140 8
0.000190491  140 9
0.000261853  140 10
0.000073405  150 1
0.000146592  150 2
0.000126875  150 3
0.000118786  150 4
0.000153051  150 5
0.000209537  150 6
0.000452162  150 7
0.000218941  150 8
0.000553278  150 9
0.000191693  150 10
0.000168095  160 1
0.000118381  160 2
0.000126994  160 3
0.000109742  160 4
0.000181871  160 5
0.000274285  160 6
0.000198616  160 7
0.000306481  160 8
0.000325936  160 9
0.000358203  160 10
0.000146627  170 1
0.000092783  170 2
0.000086718  170 3
0.000090553  170 4
0.000313993  170 5
0.000129587  170 6
0.000346070  170 7
0.000169100  170 8
0.000395128  170 9
0.000417698  170 10
0.000144699  180 1
0.000149623  180 2
0.000083248  180 3
0.000118074  180 4
0.000135949  180 5
0.000280541  180 6
0.000220376  180 7
0.000237084  180 8
0.000404799  180 9
0.000473792  180 10
0.000061001  190 1
0.000130345  190 2
0.000131500  190 3
0.000062872  190 4
0.000131286  190 5
0.000087982  190 6
0.000114779  190 7
0.000581695  190 8
0.000357078  190 9
0.000216367  190 10
0.000148791  200 1
0.000116547  200 2
0.000118840  200 3
0.000247635  200 4
0.000146022  200 5
0.000166683  200 6
0.000361420  200 7
0.000215369  200 8
0.000234595  200 9
0.000320328  200 10
0.000090463  210 1
0.000103844  210 2
0.000111758  210 3
0.000114637  210 4
0.000121963  210 5
0.000223979  210 6
0.000100785  210 7
0.000212521  210 8
0.000170435  210 9
0.000581610  210 10
0.000138244  220 1
0.000119231  220 2
0.000103389  220 3
0.000111899  220 4
0.000185397  220 5
0.000488263  220 6
0.000313627  220 7
0.000694803  220 8
0.000487016  220 9
0.000438981  220 10
0.000117334  230 1
0.000107193  230 2
0.000101312  230 3
0.000204733  230 4
0.000120426  230 5
0.000074768  230 6
0.000097389  230 7
0.000143687  230 8
0.000299049  230 9
0.000238052  230 10
0.000129442  240 1
0.000125190  240 2
0.000126293  240 3
0.000091681  240 4
0.000151217  240 5
0.000132332  240 6
0.000139328  240 7
0.000402540  240 8
0.000316604  240 9
0.000417842  240 10
0.000125063  250 1
0.000126236  250 2
0.000087704  250 3
0.000104265  250 4
0.000095080  250 5
0.000139857  250 6
0.006898373  250 7
0.000139133  250 8
0.000436416  250 9
0.000296466  250 10
0.000094805  260 1
0.000130051  260 2
0.000100437  260 3
0.000109063  260 4
0.000112054  260 5
0.000120587  260 6
0.000350891  260 7
0.000103064  260 8
0.000212780  260 9
0.000245423  260 10
0.000134528  270 1
0.000124964  270 2
0.000104760  270 3
0.000109403  270 4
0.000121633  270 5
0.000118340  270 6
0.000591809  270 7
